model,provider,summary_type,run,seconds,prompt_tokens,completion_tokens,total_tokens,words_out,cost_usd
gpt-5.4-nano,openai,100 words,1,2.474,2899,120,3019,90,0.00073
gpt-5.4-nano,openai,100 words,2,1.54,2899,132,3031,99,0.000745
gpt-5.4-nano,openai,100 words,3,1.031,2899,118,3017,90,0.000727
gpt-5.4-nano,openai,2 connecting paragraphs,1,2.387,2900,256,3156,202,0.0009
gpt-5.4-nano,openai,2 connecting paragraphs,2,2.16,2900,270,3170,216,0.000918
gpt-5.4-nano,openai,2 connecting paragraphs,3,1.916,2900,247,3147,203,0.000889
gpt-5.4-nano,openai,5 bullet points,1,1.498,2900,211,3111,168,0.000844
gpt-5.4-nano,openai,5 bullet points,2,2.038,2900,254,3154,176,0.000897
gpt-5.4-nano,openai,5 bullet points,3,1.598,2900,224,3124,167,0.00086
gpt-5.6-terra,openai,100 words,1,2.295,2899,148,3047,102,0.007574
gpt-5.6-terra,openai,100 words,2,2.783,2899,151,3050,103,0.00761
gpt-5.6-terra,openai,100 words,3,2.29,2899,153,3052,104,0.007634
gpt-5.6-terra,openai,2 connecting paragraphs,1,4.231,2900,293,3193,234,0.009316
gpt-5.6-terra,openai,2 connecting paragraphs,2,4.07,2900,313,3213,252,0.009556
gpt-5.6-terra,openai,2 connecting paragraphs,3,4.795,2900,287,3187,227,0.009244
gpt-5.6-terra,openai,5 bullet points,1,3.922,2900,238,3138,190,0.008656
gpt-5.6-terra,openai,5 bullet points,2,3.085,2900,212,3112,171,0.008344
gpt-5.6-terra,openai,5 bullet points,3,3.203,2900,222,3122,174,0.008464
gemini-3.8-flash,gemini,100 words,1,1.036,3015,131,3146,101,0.002752
gemini-3.8-flash,gemini,100 words,2,1.042,3015,128,3143,99,0.002741
gemini-3.8-flash,gemini,100 words,3,1.228,3015,125,3140,97,0.00273
gemini-3.8-flash,gemini,2 connecting paragraphs,1,1.673,3014,304,3318,245,0.003401
gemini-3.8-flash,gemini,2 connecting paragraphs,2,1.971,3014,283,3297,224,0.003322
gemini-3.8-flash,gemini,2 connecting paragraphs,3,2.919,3014,280,3294,226,0.003311
gemini-3.8-flash,gemini,5 bullet points,1,1.69,3014,296,3310,208,0.003371
gemini-3.8-flash,gemini,5 bullet points,2,1.62,3014,265,3279,184,0.003254
gemini-3.8-flash,gemini,5 bullet points,3,2.256,3014,338,3352,243,0.003528
gemini-3.1-pro-preview,gemini,100 words,1,16.758,3015,2219,5234,100,0.032658
gemini-3.1-pro-preview,gemini,100 words,2,16.304,3015,2089,5104,100,0.031098
gemini-3.1-pro-preview,gemini,100 words,3,16.67,3015,2181,5196,100,0.032202
gemini-3.1-pro-preview,gemini,2 connecting paragraphs,1,12.058,3014,1149,4163,211,0.019816
gemini-3.1-pro-preview,gemini,2 connecting paragraphs,2,8.05,3014,853,3867,184,0.016264
gemini-3.1-pro-preview,gemini,2 connecting paragraphs,3,10.163,3014,977,3991,193,0.017752
gemini-3.1-pro-preview,gemini,5 bullet points,1,11.598,3014,1099,4113,221,0.019216
gemini-3.1-pro-preview,gemini,5 bullet points,2,10.381,3014,1003,4017,198,0.018064
gemini-3.1-pro-preview,gemini,5 bullet points,3,8.761,3014,854,3868,189,0.016276
